incident_id,opened_date,priority,service,category,summary,description,root_cause,resolution,status,assignment_group
INC100001,25-01-2025,P4,Customer API,Application,Customer API issue reported by users,Multiple users reported issues related to customer api affecting normal operations.,Connection pool exhaustion,Increased pool size and optimized queries,Resolved,App Support
INC100002,25-03-2024,P1,VPN Gateway,Network,VPN Gateway issue reported by users,Multiple users reported issues related to vpn gateway affecting normal operations.,Expired VPN certificate,Renewed certificate and restarted gateway,Resolved,Network Ops
INC100003,07-10-2024,P3,Email Service,Application,Email Service issue reported by users,Multiple users reported issues related to email service affecting normal operations.,SMTP relay memory leak,Restarted SMTP service and applied memory patch,Resolved,Messaging Team
INC100004,05-01-2025,P3,Database Cluster,Database,Database Cluster issue reported by users,Multiple users reported issues related to database cluster affecting normal operations.,Primary node failover issue,Triggered manual failover and stabilized cluster,Closed,DBA Team
INC100005,26-05-2024,P3,Batch Processing,Application,Batch Processing issue reported by users,Multiple users reported issues related to batch processing affecting normal operations.,Job scheduler crash,Restarted scheduler and re-ran failed jobs,Resolved,Batch Ops
INC100006,18-06-2024,P4,Email Service,Application,Email Service issue reported by users,Multiple users reported issues related to email service affecting normal operations.,SMTP relay memory leak,Restarted SMTP service and applied memory patch,Resolved,Messaging Team
INC100007,10-02-2024,P3,Kubernetes Platform,Infra,Kubernetes Platform issue reported by users,Multiple users reported issues related to kubernetes platform affecting normal operations.,Pod memory limit breach,Increased memory limits and redeployed pods,Resolved,Cloud Ops
INC100008,16-09-2024,P1,VPN Gateway,Network,VPN Gateway issue reported by users,Multiple users reported issues related to vpn gateway affecting normal operations.,Expired VPN certificate,Renewed certificate and restarted gateway,Closed,Network Ops
INC100009,16-01-2025,P3,Monitoring Tool,Infra,Monitoring Tool issue reported by users,Multiple users reported issues related to monitoring tool affecting normal operations.,Incorrect alert threshold,Updated threshold configuration,Closed,Infra Monitoring
INC100010,31-10-2024,P1,Email Service,Application,Email Service issue reported by users,Multiple users reported issues related to email service affecting normal operations.,SMTP relay memory leak,Restarted SMTP service and applied memory patch,Closed,Messaging Team
INC100011,12-01-2024,P4,Batch Processing,Application,Batch Processing issue reported by users,Multiple users reported issues related to batch processing affecting normal operations.,Job scheduler crash,Restarted scheduler and re-ran failed jobs,Resolved,Batch Ops
INC100012,03-04-2024,P1,Kubernetes Platform,Infra,Kubernetes Platform issue reported by users,Multiple users reported issues related to kubernetes platform affecting normal operations.,Pod memory limit breach,Increased memory limits and redeployed pods,Resolved,Cloud Ops
INC100013,20-10-2024,P1,Monitoring Tool,Infra,Monitoring Tool issue reported by users,Multiple users reported issues related to monitoring tool affecting normal operations.,Incorrect alert threshold,Updated threshold configuration,Resolved,Infra Monitoring
INC100014,05-03-2024,P4,Customer API,Application,Customer API issue reported by users,Multiple users reported issues related to customer api affecting normal operations.,Connection pool exhaustion,Increased pool size and optimized queries,Resolved,App Support
INC100015,11-10-2024,P4,Monitoring Tool,Infra,Monitoring Tool issue reported by users,Multiple users reported issues related to monitoring tool affecting normal operations.,Incorrect alert threshold,Updated threshold configuration,Resolved,Infra Monitoring
INC100016,06-02-2024,P1,Authentication Service,Security,Authentication Service issue reported by users,Multiple users reported issues related to authentication service affecting normal operations.,Token service timeout,Restarted auth service and fixed timeout config,Resolved,IAM Team
INC100017,22-08-2024,P3,Monitoring Tool,Infra,Monitoring Tool issue reported by users,Multiple users reported issues related to monitoring tool affecting normal operations.,Incorrect alert threshold,Updated threshold configuration,Resolved,Infra Monitoring
INC100018,08-03-2024,P4,VPN Gateway,Network,VPN Gateway issue reported by users,Multiple users reported issues related to vpn gateway affecting normal operations.,Expired VPN certificate,Renewed certificate and restarted gateway,Resolved,Network Ops
